Date,Home Team,Away Team,Home Goals,Away Goals
2022-04-24,Bologna,Udinese,2,2
2022-04-24,Empoli,Napoli,3,2
2022-04-24,Genoa,Cagliari,1,0
2022-04-24,Lazio,Milan,1,2
2022-04-25,Sassuolo,Juventus,1,2
2022-04-27,Fiorentina,Udinese,0,4
2022-04-27,Atalanta,Torino,4,4
2022-04-27,Bologna,Inter,2,1
2022-04-30,Cagliari,Verona,1,2
2022-04-30,Napoli,Sassuolo,6,1
2022-04-30,Sampdoria,Genoa,1,0
2022-04-30,Spezia,Lazio,3,4
2022-05-01,Juventus,Venezia,2,1
2022-05-01,Empoli,Torino,1,3
2022-05-01,Milan,Fiorentina,1,0
2022-05-01,Udinese,Inter,1,2
2022-05-01,Roma,Bologna,0,0
2022-05-02,Atalanta,Salernitana,1,1
2022-05-05,Salernitana,Venezia,2,1
2022-05-06,Inter,Empoli,4,2
2022-05-06,Genoa,Juventus,2,1
2022-05-07,Torino,Napoli,0,1
2022-05-07,Sassuolo,Udinese,1,1
2022-05-07,Lazio,Sampdoria,2,0
2022-05-08,Spezia,Atalanta,1,3
2022-05-08,Venezia,Bologna,4,3
2022-05-08,Salernitana,Cagliari,1,1
2022-05-08,Verona,Milan,1,3
2022-05-09,Fiorentina,Roma,2,0
2022-05-14,Empoli,Salernitana,1,1
2022-05-14,Udinese,Spezia,2,3
2022-05-14,Verona,Torino,0,1
2022-05-14,Roma,Venezia,1,1
2022-05-15,Bologna,Sassuolo,1,3
2022-05-15,Napoli,Genoa,3,0
2022-05-15,Milan,Atalanta,2,0
2022-05-15,Cagliari,Inter,1,3
2022-05-16,Sampdoria,Fiorentina,4,1
2022-05-16,Juventus,Lazio,2,2
2022-05-20,Torino,Roma,0,3
2022-05-21,Genoa,Bologna,0,1
2022-05-21,Atalanta,Empoli,0,1
2022-05-21,Fiorentina,Juventus,2,0
2022-05-21,Lazio,Verona,3,3
2022-05-22,Spezia,Napoli,0,3
2022-05-22,Inter,Sampdoria,3,0
2022-05-22,Sassuolo,Milan,0,3
2022-05-22,Salernitana,Udinese,0,4
2022-05-22,Venezia,Cagliari,0,0
